iter	Passed	Remaining
625	16335	9759
626	16365	9735
627	16409	9720
628	16463	9710
629	16496	9688
630	16525	9663
631	16572	9649
632	16599	9624
633	16618	9593
634	16664	9578
635	16696	9555
636	16720	9528
637	16760	9510
638	16807	9495
639	16826	9464
640	16845	9434
641	16893	9420
642	16969	9421
643	16999	9397
644	17021	9368
645	17046	9341
646	17068	9312
647	17098	9288
648	17153	9277
649	17190	9256
650	17213	9228
651	17242	9203
652	17270	9177
653	17333	9170
654	17452	9192
655	17560	9208
656	17702	9241
657	17769	9236
658	17801	9211
659	17842	9191
660	17871	9165
661	17911	9145
662	17945	9121
663	17980	9098
664	18019	9077
665	18074	9064
666	18114	9043
667	18141	9016
668	18190	8999
669	18264	8996
670	18355	8999
671	18409	8985
672	18463	8971
673	18518	8957
674	18580	8946
675	18644	8935
676	18678	8911
677	18724	8892
678	18755	8866
679	18789	8842
680	18900	8853
681	18927	8825
682	18953	8796
683	18990	8773
684	19012	8743
685	19040	8715
686	19066	8686
687	19095	8659
688	19128	8634
689	19158	8607
690	19190	8581
691	19223	8556
692	19254	8529
693	19289	8505
694	19319	8478
695	19337	8446
696	19375	8422
697	19471	8424
698	19629	8452
699	19728	8455
700	19795	8443
701	19827	8416
702	19926	8418
703	20030	8421
704	20080	8402
705	20120	8378
706	20153	8352
707	20178	8322
708	20215	8297
709	20295	8289
710	20337	8266
711	20372	8240
712	20412	8216
713	20450	8191
714	20531	8183
715	20600	8171
716	20638	8146
717	20659	8114
718	20715	8095
719	20755	8071
720	20786	8043
721	20846	8026
722	20895	8005
723	20924	7976
724	20990	7961
725	21025	7935
726	21103	7924
727	21194	7918
728	21270	7907
729	21348	7896
730	21399	7874
731	21446	7852
732	21477	7823
733	21527	7801
734	21610	7791
735	21720	7790
736	21802	7780
737	21848	7756
738	21883	7728
739	21940	7708
740	21990	7686
741	22027	7659
742	22064	7631
743	22101	7604
744	22132	7575
745	22164	7546
746	22199	7518
747	22236	7491
748	22269	7462
749	22304	7434
750	22341	7407
751	22373	7378
752	22406	7349
753	22446	7323
754	22478	7294
755	22516	7267
756	22549	7238
757	22580	7209
758	22611	7179
759	22650	7152
760	22689	7125
761	22726	7098
762	22755	7068
763	22795	7041
764	22826	7012
765	22847	6979
766	22865	6946
767	22883	6912
768	22905	6880
769	22923	6847
770	22957	6818
771	22996	6791
772	23041	6766
773	23074	6737
774	23105	6708
775	23136	6678
776	23167	6649
777	23196	6619
778	23236	6592
779	23287	6568
780	23326	6541
781	23369	6514
782	23408	6487
783	23433	6456
784	23456	6424
785	23506	6400
786	23535	6369
787	23573	6342
788	23637	6321
789	23697	6299
790	23774	6281
791	23830	6258
792	23872	6231
793	23917	6205
794	24002	6189
795	24044	6162
796	24117	6142
797	24199	6125
798	24246	6099
799	24311	6077
800	24350	6049
801	24390	6021
802	24428	5993
803	24449	5960
804	24470	5927
805	24538	5906
806	24572	5876
807	24606	5847
808	24638	5817
809	24672	5787
810	24702	5756
811	24725	5724
812	24757	5694
813	24793	5665
814	24830	5636
815	24870	5608
816	24908	5579
817	24950	5551
818	24988	5522
819	25021	5492
820	25053	5462
821	25086	5432
822	25118	5402
823	25152	5372
824	25185	5342
825	25218	5312
826	25259	5283
827	25293	5254
828	25325	5223
829	25362	5194
830	25384	5162
831	25416	5132
832	25447	5101
833	25475	5070
834	25507	5040
835	25529	5008
836	25582	4981
837	25641	4956
838	25685	4929
839	25737	4902
840	25777	4873
841	25821	4845
842	25876	4819
843	25940	4794
844	25973	4764
845	26008	4734
846	26044	4704
847	26083	4675
848	26147	4650
849	26186	4621
850	26236	4593
851	26284	4565
852	26328	4537
853	26361	4506
854	26394	4476
855	26411	4443
856	26430	4410
857	26463	4379
858	26493	4348
859	26515	4316
860	26557	4287
861	26579	4255
862	26597	4222
863	26619	4190
864	26644	4158
865	26679	4128
866	26697	4095
867	26721	4063
868	26750	4032
869	26768	3999
870	26792	3968
871	26822	3937
872	26856	3906
873	26881	3875
874	26904	3843
875	26925	3811
876	26957	3780
877	26977	3748
878	27009	3718
879	27048	3688
880	27070	3656
881	27103	3626
882	27162	3599
883	27190	3568
884	27229	3538
885	27251	3506
886	27283	3475
887	27304	3443
888	27330	3412
889	27361	3381
890	27381	3349
891	27400	3317
892	27427	3286
893	27459	3255
894	27481	3224
895	27512	3193
896	27540	3162
897	27574	3132
898	27620	3103
899	27672	3074
900	27690	3042
901	27709	3010
902	27735	2979
903	27786	2950
904	27814	2919
905	27850	2889
906	27887	2859
907	27935	2830
908	27976	2800
909	28011	2770
910	28055	2740
911	28120	2713
912	28159	2683
913	28197	2653
914	28245	2623
915	28296	2594
916	28347	2565
917	28382	2535
918	28406	2503
919	28439	2473
920	28471	2442
921	28498	2410
922	28524	2379
923	28557	2348
924	28585	2317
925	28605	2285
926	28637	2255
927	28685	2225
928	28712	2194
929	28757	2164
930	28814	2135
931	28931	2110
932	28977	2080
933	29071	2054
934	29148	2026
935	29177	1995
936	29211	1964
937	29243	1932
938	29279	1902
939	29325	1871
940	29368	1841
941	29404	1810
942	29478	1781
943	29506	1750
944	29534	1718
945	29569	1687
946	29612	1657
947	29661	1626
948	29697	1595
949	29734	1564
950	29765	1533
951	29800	1502
952	29847	1472
953	29875	1440
954	29906	1409
955	29940	1378
956	29973	1346
957	30007	1315
958	30026	1283
959	30044	1251
960	30074	1220
961	30106	1189
962	30126	1157
963	30142	1125
964	30164	1094
965	30180	1062
966	30199	1030
967	30227	999
968	30249	967
969	30289	936
970	30325	905
971	30357	874
972	30386	843
973	30410	811
974	30436	780
975	30466	749
976	30488	717
977	30512	686
978	30546	655
979	30571	623
980	30600	592
981	30627	561
982	30658	530
983	30685	498
984	30712	467
985	30739	436
986	30793	405
987	30825	374
988	30845	343
989	30862	311
990	30891	280
991	30927	249
992	30944	218
993	30961	186
994	30985	155
995	31003	124
996	31024	93
997	31053	62
998	31071	31
999	31103	0
